Number of commits: 125

NOTE: etcd was excluded because it doesn't compile due to grpc changes

Compilation time:
	* github.com/boltdb/bolt/cmd/bolt: from 616.387828ms to 608.214362ms, -1.33%
	* github.com/gogits/gogs: from 15.261902388s to 15.077212489s, -1.21%
	* github.com/spf13/hugo: from 7.572419367s to 7.442231971s, -1.72%
	* github.com/influxdata/influxdb/cmd/influxd: from 7.134895405s to 7.061516979s, -1.03%
	* github.com/nsqio/nsq/apps/nsqd: from 2.488679928s to 2.44750362s, -1.65%
	* github.com/mholt/caddy: from 5.572195354s to 5.444731663s, -2.29%

Binary size:
	* github.com/boltdb/bolt/cmd/bolt: from 2618526 to 2593283, -0.96%
	* github.com/gogits/gogs: from 23021534 to 22906574, -0.50%
	* github.com/spf13/hugo: from 14992636 to 14913467, -0.53%
	* github.com/influxdata/influxdb/cmd/influxd: from 15707782 to 15624774, -0.53%
	* github.com/nsqio/nsq/apps/nsqd: from 9845751 to 9796747, -0.50%
	* github.com/mholt/caddy: from 13283927 to 13227799, -0.42%

Bechmarks:
BenchmarkMsgpMarshal-4                   	10000000	       204 ns/op	     128 B/op	       1 allocs/op
BenchmarkMsgpUnmarshal-4                 	 3000000	       402 ns/op	     112 B/op	       3 allocs/op
BenchmarkVmihailencoMsgpackMarshal-4     	 1000000	      2091 ns/op	     352 B/op	       5 allocs/op
BenchmarkVmihailencoMsgpackUnmarshal-4   	 1000000	      1944 ns/op	     352 B/op	      13 allocs/op
BenchmarkJsonMarshal-4                   	  500000	      3450 ns/op	    1232 B/op	      10 allocs/op
BenchmarkJsonUnmarshal-4                 	  500000	      3603 ns/op	     416 B/op	       7 allocs/op
BenchmarkEasyJsonMarshal-4               	 1000000	      1478 ns/op	     784 B/op	       5 allocs/op
BenchmarkEasyJsonUnmarshal-4             	 1000000	      1495 ns/op	     160 B/op	       4 allocs/op
BenchmarkBsonMarshal-4                   	 1000000	      1563 ns/op	     392 B/op	      10 allocs/op
BenchmarkBsonUnmarshal-4                 	 1000000	      2051 ns/op	     248 B/op	      21 allocs/op
BenchmarkGobMarshal-4                    	 1000000	      1072 ns/op	      48 B/op	       2 allocs/op
BenchmarkGobUnmarshal-4                  	 1000000	      1121 ns/op	     112 B/op	       3 allocs/op
BenchmarkXdrMarshal-4                    	 1000000	      1744 ns/op	     455 B/op	      20 allocs/op
BenchmarkXdrUnmarshal-4                  	 1000000	      1559 ns/op	     240 B/op	      11 allocs/op
BenchmarkUgorjiCodecMsgpackMarshal-4     	  500000	      3050 ns/op	    2752 B/op	       8 allocs/op
BenchmarkUgorjiCodecMsgpackUnmarshal-4   	  500000	      3329 ns/op	    3008 B/op	       6 allocs/op
BenchmarkUgorjiCodecBincMarshal-4        	  500000	      3095 ns/op	    2784 B/op	       8 allocs/op
BenchmarkUgorjiCodecBincUnmarshal-4      	  500000	      3589 ns/op	    3168 B/op	       9 allocs/op
BenchmarkSerealMarshal-4                 	  500000	      3481 ns/op	     912 B/op	      21 allocs/op
BenchmarkSerealUnmarshal-4               	  500000	      3664 ns/op	    1008 B/op	      34 allocs/op
BenchmarkBinaryMarshal-4                 	 1000000	      1591 ns/op	     256 B/op	      16 allocs/op
BenchmarkBinaryUnmarshal-4               	 1000000	      1824 ns/op	     335 B/op	      22 allocs/op
BenchmarkFlatbuffersMarshal-4            	 5000000	       365 ns/op	       0 B/op	       0 allocs/op
BenchmarkFlatBuffersUnmarshal-4          	 5000000	       305 ns/op	     112 B/op	       3 allocs/op
BenchmarkCapNProtoMarshal-4              	 3000000	       511 ns/op	      56 B/op	       2 allocs/op
BenchmarkCapNProtoUnmarshal-4            	 3000000	       507 ns/op	     200 B/op	       6 allocs/op
BenchmarkCapNProto2Marshal-4             	 1000000	      1207 ns/op	     244 B/op	       3 allocs/op
BenchmarkCapNProto2Unmarshal-4           	 1000000	      1209 ns/op	     320 B/op	       6 allocs/op
BenchmarkHproseMarshal-4                 	 1000000	      1111 ns/op	     473 B/op	       8 allocs/op
BenchmarkHproseUnmarshal-4               	 1000000	      1247 ns/op	     320 B/op	      10 allocs/op
BenchmarkProtobufMarshal-4               	 1000000	      1167 ns/op	     200 B/op	       7 allocs/op
BenchmarkProtobufUnmarshal-4             	 2000000	       773 ns/op	     192 B/op	      10 allocs/op
BenchmarkGoprotobufMarshal-4             	 2000000	       608 ns/op	     312 B/op	       4 allocs/op
BenchmarkGoprotobufUnmarshal-4           	 2000000	       868 ns/op	     432 B/op	       9 allocs/op
BenchmarkGogoprotobufMarshal-4           	10000000	       182 ns/op	      64 B/op	       1 allocs/op
BenchmarkGogoprotobufUnmarshal-4         	 5000000	       276 ns/op	      96 B/op	       3 allocs/op
BenchmarkGencodeMarshal-4                	10000000	       194 ns/op	      80 B/op	       2 allocs/op
BenchmarkGencodeUnmarshal-4              	 5000000	       244 ns/op	     112 B/op	       3 allocs/op
BenchmarkGencodeUnsafeMarshal-4          	10000000	       122 ns/op	      48 B/op	       1 allocs/op
BenchmarkGencodeUnsafeUnmarshal-4        	10000000	       205 ns/op	      96 B/op	       3 allocs/op
PASS
ok  	github.com/alecthomas/go_serialization_benchmarks	69.800s

benchmark                                  old ns/op     new ns/op     delta
    EncodeTwainCompress1e4-8   23.5MB/s ± 1%  23.4MB/s ± 2%    ~      (p=0.536 n=9+10)
    EncodeTwainCompress1e5-8   14.7MB/s ± 1%  14.6MB/s ± 3%    ~      (p=0.138 n=9+10)
    EncodeTwainCompress1e6-8   13.4MB/s ± 3%  13.5MB/s ± 2%    ~     (p=0.239 n=10+10)
    
    This improves "random input" to the dynamic writer, which is why the test data is
    updated. The output size goes from 1051 to 1005 bytes.
    
    Change-Id: I3ee11d2d2511b277d2dd16734aeea07c98bca450
    Reviewed-on: https://go-review.googlesource.com/21757
    Reviewed-by: Joe Tsai <joetsai@digital-static.net>
    Run-TryBot: Joe Tsai <joetsai@digital-static.net>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Nigel Tao <nigeltao@golang.org>

commit 3629814c4399010a47f146516511ecfef64f05c3
Author: David Symonds <dsymonds@golang.org>
Date:   Mon Apr 18 09:20:58 2016 +1000

    doc: link to iant's generics proposal from the FAQ.
    
    Updates #15292.
    
    Change-Id: I229f66c2a41ae0738225f2ba7a574478f5d6d620
    Reviewed-on: https://go-review.googlesource.com/22163
    Reviewed-by: Andrew Gerrand <adg@golang.org>

commit 04535459caf349bc5a731133f5e9eef5e1ab9af9
Author: Ian Lance Taylor <iant@golang.org>
Date:   Sun Apr 17 15:13:46 2016 -0700

    .gitignore: don't ignore y.output
    
    We no longer use yacc, and we shouldn't have any y.output files.
    
    Change-Id: I045671b6aef3f53c3cfe068b0c14a4871689c13e
    Reviewed-on: https://go-review.googlesource.com/22161
    Run-TryBot: Ian Lance Taylor <iant@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 5c434e93a16fae3edc4f0494bc796eb80bfbd0b2
Author: Emmanuel Odeke <emm.odeke@gmail.com>
Date:   Sun Apr 17 11:24:57 2016 -0700

    fmt: remove extra space in doc for compound objects
    
    Fixes #15339
    
    Change-Id: I0b006deefb58ccfc47beae4e1b8da3d77fafda6b
    Reviewed-on: https://go-review.googlesource.com/22148
    Reviewed-by: Rob Pike <r@golang.org>

commit a85a224e8e835fc9544f5e9e7b28d7bbc732045b
Author: Martin Möhrmann <martisch@uos.de>
Date:   Sat Apr 16 09:24:43 2016 +0200

    fmt: fix padding when precision is set for integer formatting
    
    Ignore the f.zero flag and use spaces for padding instead
    when precision is set.
    
    Fixes #15331
    
    Change-Id: I3ac485df24b7bdf4fddf69e3cc17c213c737b5ff
    Reviewed-on: https://go-review.googlesource.com/22131
    Run-TryBot: Rob Pike <r@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Rob Pike <r@golang.org>

commit d07709ed7b798a1eca3394202a241e6f36fe9695
Author: Josh Bleecher Snyder <josharian@gmail.com>
Date:   Sat Apr 16 21:42:07 2016 -0700

    crypto/x509: gofmt
    
    Change-Id: I05659a836612f958083fea9a27805eb9f0ac0836
    Reviewed-on: https://go-review.googlesource.com/22145
    Run-TryBot: Josh Bleecher Snyder <josharian@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 31da093c1e8b82bcba42846a4a8f670452df88f3
Author: Josh Bleecher Snyder <josharian@gmail.com>
Date:   Sat Apr 16 18:36:07 2016 -0700

    image/draw: remove some bounds checks from DrawYCbCr
    
    It’d be nicer to write just
    
    _ = dpix[x+3]
    
    but the compiler isn’t able to reason about offsets
    from symbols (yet).
    
    image/draw benchmark:
    
    YCbCr-8   722µs ± 3%   682µs ± 3%  -5.54%  (p=0.000 n=50+50)
    
    Change-Id: Ia1e399496ed87c282bf0f9ca56c0b2d4948a0df9
    Reviewed-on: https://go-review.googlesource.com/22146
    Run-TryBot: Josh Bleecher Snyder <josharian@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 2563b6f9fe76da6c9f95c7766986f4684b80ae6d
Author: Josh Bleecher Snyder <josharian@gmail.com>
Date:   Sun Apr 3 14:44:29 2016 -0700

    cmd/compile/internal/ssa: use Compare instead of Equal
    
    They have different semantics.
    
    Equal is stricter and is designed for the front-end.
    Compare is looser and cheaper and is designed for the back-end.
    To avoid possible regression, remove Equal from ssa.Type.
    
    Updates #15043
    
    Change-Id: Ie23ce75ff6b4d01b7982e0a89e6f81b5d099d8d6
    Reviewed-on: https://go-review.googlesource.com/21483
    Reviewed-by: David Chase <drchase@google.com>
    Run-TryBot: Josh Bleecher Snyder <josharian@gmail.com>

commit 462aa7ec7b854f5a1bb4f633cb439eb67bced625
Author: Brad Fitzpatrick <bradfitz@golang.org>
Date:   Wed Apr 13 18:14:52 2016 +0000

    encoding/json: update docs to not use misuse the term "object"
    
    In JSON terminology, "object" is a collect of key/value pairs. But a
    JSON object is only one type of JSON value (others are string, number,
    array, true, false, null).
    
    This updates the Go docs (at least the public godoc) to not use
    "object" when we mean any JSON value.
    
    Change-Id: Ieb1c456c703693714d63d9d09d306f4d9e8f4597
    Reviewed-on: https://go-review.googlesource.com/22003
    Reviewed-by: Andrew Gerrand <adg@golang.org>

commit 2cdcb6f8296b6528bb7d256a45e339c4aefb9109
Author: Austin Clements <austin@google.com>
Date:   Thu Apr 14 13:41:36 2016 -0400

    runtime: scavenge memory on physical page-aligned boundaries
    
    Currently the scavenger marks memory unused in multiples of the
    allocator page size (8K). This is safe as long as the true physical
    page size is 4K (or 8K), as it is on many platforms. However, on
    ARM64, PPC64x, and MIPS64, the physical page size is larger than 8K,
    so if we attempt to mark memory unused, the kernel will round the
    boundaries of the region *out* to all pages covered by the requested
    region, and we'll release a larger region of memory than intended. As
    a result, the scavenger is currently disabled on these platforms.
    
    Fix this by first rounding the region to be marked unused *in* to
    multiples of the physical page size, so that when we ask the kernel to
    mark it unused, it releases exactly the requested region.
    
    Fixes #9993.
    
    Change-Id: I96d5fdc2f77f9d69abadcea29bcfe55e68288cb1
    Reviewed-on: https://go-review.googlesource.com/22066
    Reviewed-by: Rick Hudson <rlh@golang.org>

commit 1151473077fb03df798d4eb57a22fa820f9e41f8
Author: Austin Clements <austin@google.com>
Date:   Thu Apr 14 13:40:35 2016 -0400

    runtime: check that sysUnused is always physical-page aligned
    
    If sysUnused is passed an address or length that is not aligned to the
    physical page boundary, the kernel will unmap more memory than the
    caller wanted. Add a check for this.
    
    For #9993.
    
    Change-Id: I68ff03032e7b65cf0a853fe706ce21dc7f2aaaf8
    Reviewed-on: https://go-review.googlesource.com/22065
    Reviewed-by: Rick Hudson <rlh@golang.org>
    Reviewed-by: Dave Cheney <dave@cheney.net>
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>

commit 8ce844e88ed8c16bef7febea05b003b50bd0609e
Author: Austin Clements <austin@google.com>
Date:   Thu Apr 14 13:27:36 2016 -0400

    runtime: check kernel physical page size during init
    
    The runtime hard-codes an assumed physical page size. If this is
    smaller than the kernel's page size or not a multiple of it, sysUnused
    may incorrectly release more memory to the system than intended.
    
    Add a runtime startup check that the runtime's assumed physical page
    is compatible with the kernel's physical page size.
    
    For #9993.
    
    Change-Id: Ida9d07f93c00ca9a95dd55fc59bf0d8a607f6728
    Reviewed-on: https://go-review.googlesource.com/22064
    Reviewed-by: Rick Hudson <rlh@golang.org>

commit d6b177d1eb7849375e246b97c58406aed7350c86
Author: Austin Clements <austin@google.com>
Date:   Thu Apr 14 15:08:24 2016 -0400

    runtime: remove empty 386 archauxv
    
    archauxv no longer does anything on 386, so remove it.
    
    Change-Id: I94545238e40fa6a6832a7c3b40aedfc6c1f6a97b
    Reviewed-on: https://go-review.googlesource.com/22063
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 90addd3d41852192ba697d33c9b1660988b82ed7
Author: Austin Clements <austin@google.com>
Date:   Thu Apr 14 12:32:28 2016 -0400

    runtime: common handling of _AT_RANDOM auxv
    
    The Linux kernel provides 16 bytes of random data via the auxv vector
    at startup. Currently we consume this separately on 386, amd64, arm,
    and arm64. Now that we have a common auxv parser, handle _AT_RANDOM in
    the common path.
    
    Change-Id: Ib69549a1d37e2d07a351cf0f44007bcd24f0d20d
    Reviewed-on: https://go-review.googlesource.com/22062
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit c955bb2040e601c474e547b8badbe44677c9fbdf
Author: Austin Clements <austin@google.com>
Date:   Thu Apr 14 12:12:45 2016 -0400

    runtime: common auxv parser
    
    Currently several different Linux architectures have separate copies
    of the auxv parser. Bring these all together into a single copy of the
    parser that calls out to a per-arch handler for each tag/value pair.
    This is in preparation for handling common auxv tags in one place.
    
    For #9993.
    
    Change-Id: Iceebc3afad6b4133b70fca7003561ae370445c10
    Reviewed-on: https://go-review.googlesource.com/22061
    Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Michael Hudson-Doyle <michael.hudson@canonical.com>

commit 26ecb42fb4c5ee1d8b64f12e5bb8df6549523d23
Author: Emmanuel Odeke <emm.odeke@gmail.com>
Date:   Sat Apr 16 02:04:00 2016 -0700

    net/http: normalize empty port in URL.Host's ":port"
    
    - Ensures that the empty port and preceeding ":"
    in a URL.Host are stripped.
    Normalize the empty port in a URL.Host's ":port" as
    mandated by RFC 3986 Section 6.2.3 which states that:
    `Likewise an explicit ":port", for which the port is empty or
    the default for the scheme, is equivalent to one where the port
    and its ":" delimiter are elided and thus should be
    removed by scheme-based normalization.`
    
    - Moves function `hasPort` from client.go (where it was defined but
    not used directly), to http.go the common area.
    
    Fixes #14836
    
    Change-Id: I2067410377be9c71106b1717abddc2f8b1da1c03
    Reviewed-on: https://go-review.googlesource.com/22140
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 585590549a3c6e26e7963081e11478a1913744a6
Author: Brad Fitzpatrick <bradfitz@golang.org>
Date:   Fri Apr 15 22:59:36 2016 +0000

    net/http: add Transport.Dialer, plumb RoundTrip contexts to net package
    
    This simply connects the contexts, pushing them down the call stack.
    Future CLs will utilize them.
    
    For #12580 (http.Transport tracing/analytics)
    Updates #13021
    
    Change-Id: I5b2074d6eb1e87d79a767fc0609c84e7928d1a16
    Reviewed-on: https://go-review.googlesource.com/22124
    Reviewed-by: Ian Lance Taylor <iant@golang.org>
    Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 318da8d66958574497450e4dcee518df55194f14
Author: David du Colombier <0intro@gmail.com>
Date:   Sat Apr 16 04:36:42 2016 +0200

    net: ignore lack of deadline support on Plan 9
    
    Since CL 22101, network tests are failing on Plan 9
    due to the lack of deadline support.
    
    Instead of panicking, we just ignore the deadline
    when set.
    
    Update #11932.
    Fixes #15328.
    
    Change-Id: I1399303b0b3d6d81e0b8b8d327980d978b411a46
    Reviewed-on: https://go-review.googlesource.com/22127
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 002c69e05d6a24693ac1052d98845ec635f34c19
Author: Morten Siebuhr <sbhr@sbhr.dk>
Date:   Fri Feb 19 21:53:17 2016 +0100

    net: fix looking up port numbers starting with numbers.
    
    LookupPort() correctly parses service names beginning with numerals by
    implementing a new parser, mainly taken from strconv/atoi.go.
    
    Also testes some previously undefined behaviours around port numbers
    larger than 65535 that previously could lead to some tests fail with
    EOPNOTSUPP (Operation Not Supported).
    
    Fixes #14322
    
    Change-Id: I1b90dbed434494723e261d84e73fe705e5c0507a
    Reviewed-on: https://go-review.googlesource.com/19720
    Run-TryBot: Mikio Hara <mikioh.mikioh@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Mikio Hara <mikioh.mikioh@gmail.com>

commit b6b4004d5a5bf7099ac9ab76777797236da7fe63
Author: Brad Fitzpatrick <bradfitz@golang.org>
Date:   Thu Apr 14 17:47:25 2016 -0700

    net: context plumbing, add Dialer.DialContext
    
    For #12580 (http.Transport tracing/analytics)
    Updates #13021
    
    Change-Id: I126e494a7bd872e42c388ecb58499ecbf0f014cc
    Reviewed-on: https://go-review.googlesource.com/22101
    Run-TryBot: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Ian Lance Taylor <iant@golang.org>
    Reviewed-by: Mikio Hara <mikioh.mikioh@gmail.com>

commit 1d0977a1d552ad19a88c4ba9aeecd403699d82b6
Author: Ian Lance Taylor <iant@golang.org>
Date:   Thu Apr 14 16:51:18 2016 -0700

    cmd/cgo: add missing formatting directive in error message
    
    Fixes #15310.
    
    Change-Id: I588b3c630a20a6878f7cd00f9af29b1dd8a4abf6
    Reviewed-on: https://go-review.googlesource.com/22100
    Run-TryBot: Ian Lance Taylor <iant@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit d57a118afabdd5b0f516d8d3225b2c7f8c96d64a
Author: Matthew Dempsky <mdempsky@google.com>
Date:   Fri Apr 15 14:22:27 2016 -0700

    cmd/compile: remove dead flags
    
    For some time now, the -d flag has been used to control various named
    debug options, rather than setting Debug['d']. Consequently, that
    means dflag() always returns false, which means the -y flag is also
    useless.
    
    Similarly, Debug['L'] is never used anywhere, so the -L flag can be
    dropped too.
    
    Change-Id: I4bb12454e462410115ec4f5565facf76c5c2f255
    Reviewed-on: https://go-review.googlesource.com/22121
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>

commit 75c079cb976e2ba2106074ca0b3005b788c18f08
Author: Matthew Dempsky <mdempsky@google.com>
Date:   Fri Apr 15 13:39:47 2016 -0700

    archive/tar: style nit: s/nano_buf/nanoBuf/
    
    Pointed out during review of golang.org/cl/22104.
    
    Change-Id: If8842e7f8146441e918ec6a2b6e893b7cf88615c
    Reviewed-on: https://go-review.googlesource.com/22120
    Run-TryBot: Matthew Dempsky <mdempsky@google.com>
    Reviewed-by: Brad Fitzpatrick <bradfitz@golang.org>
    TryBot-Result: Gobot Gobot <gobot@golang.org>

commit 6f59ccb052534f3293e9e0b0e02f35578901ef3c
Author: Mikio Hara <mikioh.mikioh@gmail.com>
Date:   Fri Jan 15 14:57:41 2016 +0900

    runtime: don't always unblock all signals on dragonfly, freebsd and openbsd
    
    https://golang.org/cl/10173 intrduced msigsave, ensureSigM and
    _SigUnblock but didn't enable the new signal save/restore mechanism for
    SIG{HUP,INT,QUIT,ABRT,TERM} on DragonFly BSD, FreeBSD and OpenBSD.
    
    At present, it looks like they have the implementation. This change
    enables the new mechanism on DragonFly BSD, FreeBSD and OpenBSD the same
    as Darwin, NetBSD.
    
    Change-Id: Ifb4b4743b3b4f50bfcdc7cf1fe1b59c377fa2a41
    Reviewed-on: https://go-review.googlesource.com/18657
    Run-TryBot: Mikio Hara <mikioh.mikioh@gmail.com>
    TryBot-Result: Gobot Gobot <gobot@golang.org>
    Reviewed-by: Ian Lance Taylor <iant@golang.org>

commit 7345fa54c17e979c4dc9d5c26c385d77ad614592
Author: Martin Möhrmann <martisch@uos.de>
Date:   Mon Mar 21 14:36:21 2016 +0100

    fmt: optimize struct layout and intbuf size
    
    Move boolean fields to the end of the pp struct for better packing.
    
    Increase the fmt.intbuf size to leave no padding space unused
    at the end of the fmt struct on 32 bit architectures.
    
    The size of the pp struct on amd64 is decreased from 192 byte
    to 184 byte and on 386 from 132 byte to 128 byte.
    
    Simplify buffer size calculation in fmt_integer.
    
    Consolidate test cases for intbuf overflow checks.
    
    amd64 Haswell:
    
    name                     old time/op  new time/op  delta
    SprintfPadding-2          227ns ± 2%   227ns ± 1%    ~     (p=0.941 n=25+25)
    SprintfEmpty-2           38.4ns ± 6%  35.8ns ±23%  -6.71%  (p=0.030 n=24+25)
    SprintfString-2           100ns ± 0%   101ns ± 0%  +1.00%  (p=0.000 n=19+18)
    SprintfTruncateString-2   142ns ± 1%   142ns ± 1%  +0.37%  (p=0.028 n=25+25)
    SprintfQuoteString-2      397ns ± 0%   393ns ± 0%  -0.82%  (p=0.000 n=21+24)
    SprintfInt-2              101ns ± 2%   102ns ± 4%    ~     (p=0.159 n=21+24)
    SprintfIntInt-2           155ns ± 3%   155ns ± 3%    ~     (p=0.934 n=25+25)
    SprintfPrefixedInt-2      252ns ± 2%   251ns ± 2%    ~     (p=0.198 n=25+25)
    SprintfFloat-2            184ns ± 3%   179ns ± 2%  -3.07%  (p=0.000 n=24+25)
    SprintfComplex-2          532ns ± 2%   535ns ± 2%  +0.64%  (p=0.046 n=25+24)
    SprintfBoolean-2         90.5ns ± 3%  91.6ns ± 2%  +1.17%  (p=0.000 n=22+22)
    SprintfHexString-2        164ns ± 2%   165ns ± 3%    ~     (p=0.066 n=25+25)
    SprintfHexBytes-2         171ns ± 3%   170ns ± 3%    ~     (p=0.941 n=25+24)
    SprintfBytes-2            320ns ± 1%   313ns ± 1%  -2.31%  (p=0.000 n=24+21)
    SprintfStringer-2         347ns ± 2%   348ns ± 2%    ~     (p=0.426 n=24+24)
    SprintfStructure-2        753ns ± 1%   742ns ± 1%  -1.49%  (p=0.000 n=24+25)
    FprintInt-2               145ns ± 0%   144ns ± 0%  -0.69%  (p=0.000 n=24+23)
    FprintfBytes-2            163ns ± 0%   163ns ± 0%  -0.27%  (p=0.000 n=25+25)
    FprintIntNoAlloc-2        108ns ± 0%   105ns ± 0%  -2.78%  (p=0.000 n=25+2
    
    386 Haswell:
    
    name                     old time/op  new time/op  delta
    SprintfPadding-2          426ns ± 2%   422ns ± 1%  -0.89%  (p=0.000 n=25+24)
    SprintfEmpty-2           24.6ns ± 1%  24.5ns ± 0%  -0.39%  (p=0.000 n=22+15)
    SprintfString-2          99.1ns ± 3%  95.6ns ± 0%  -3.52%  (p=0.000 n=25+24)
    SprintfTruncateString-2   156ns ± 4%   153ns ± 1%  -1.65%  (p=0.000 n=24+23)
    SprintfQuoteString-2      500ns ± 2%   493ns ± 1%  -1.49%  (p=0.000 n=25+24)
    SprintfInt-2             92.6ns ± 9%  88.3ns ± 1%  -4.72%  (p=0.000 n=25+25)
    SprintfIntInt-2           143ns ± 7%   137ns ± 2%  -4.01%  (p=0.000 n=23+25)
    SprintfPrefixedInt-2      268ns ±19%   264ns ±16%    ~     (p=0.826 n=24+24)
    SprintfFloat-2            242ns ± 4%   246ns ± 2%  +1.60%  (p=0.000 n=25+25)
    SprintfComplex-2         1.04µs ± 3%  1.03µs ± 1%  -0.89%  (p=0.026 n=25+25)
    SprintfBoolean-2         82.2ns ± 9%  80.7ns ± 2%    ~     (p=0.163 n=24+24)
    SprintfHexString-2        240ns ± 5%   224ns ± 2%  -6.94%  (p=0.000 n=25+25)
    SprintfHexBytes-2         245ns ± 3%   234ns ± 2%  -4.55%  (p=0.000 n=25+25)
    SprintfBytes-2            432ns ±13%   419ns ± 2%    ~     (p=0.081 n=23+25)
    SprintfStringer-2         356ns ± 4%   356ns ± 4%    ~     (p=0.988 n=25+25)
    SprintfStructure-2        968ns ± 5%   948ns ± 2%  -2.11%  (p=0.000 n=25+25)
    FprintInt-2               206ns ± 0%   201ns ± 0%  -2.43%  (p=0.000 n=25+21)
    FprintfBytes-2            187ns ± 1%   187ns ± 1%    ~     (p=0.420 n=25+25)
    FprintIntNoAlloc-2        173ns ± 0%   168ns ± 0%  -2.89%  (p=0.000 n=25+2
    
    amd64 Ivy Bridge:
    
    name                     old time/op  new time/op  delta
    SprintfPadding-4          203ns ± 4%   210ns ± 8%  +3.27%  (p=0.000 n=23+25)
    SprintfEmpty-4           24.4ns ± 2%  24.4ns ± 3%    ~     (p=0.487 n=24+25)
    SprintfString-4          92.4ns ± 2%  93.1ns ± 3%    ~     (p=0.087 n=22+25)
    SprintfTruncateString-4   137ns ± 3%   136ns ± 2%  -1.02%  (p=0.002 n=25+25)
    SprintfQuoteString-4      378ns ± 1%   373ns ± 1%  -1.32%  (p=0.000 n=24+22)
    SprintfInt-4             89.9ns ± 3%  90.3ns ± 4%    ~     (p=0.444 n=25+25)
    SprintfIntInt-4           137ns ± 4%   138ns ± 3%    ~     (p=0.112 n=25+23)
    SprintfPrefixedInt-4      155ns ±14%   154ns ±14%    ~     (p=0.791 n=25+25)
    SprintfFloat-4            154ns ± 2%   154ns ± 3%    ~     (p=0.789 n=25+25)
    SprintfComplex-4          396ns ± 2%   402ns ± 3%  +1.53%  (p=0.001 n=23+25)
    SprintfBoolean-4         71.0ns ± 3%  71.2ns ± 2%    ~     (p=0.515 n=25+24)
    SprintfHexString-4        156ns ± 3%   150ns ± 5%  -3.69%  (p=0.000 n=24+25)
    SprintfHexBytes-4         154ns ± 3%   157ns ± 5%  +1.72%  (p=0.003 n=24+25)
    SprintfBytes-4            297ns ± 4%   291ns ± 3%  -1.86%  (p=0.000 n=25+25)
    SprintfStringer-4         275ns ± 3%   265ns ± 3%  -3.51%  (p=0.000 n=25+25)
    SprintfStructure-4        878ns ± 2%   823ns ± 2%  -6.21%  (p=0.000 n=25+22)
    FprintInt-4               145ns ± 1%   147ns ± 2%  +0.94%  (p=0.001 n=23+25)
    FprintfBytes-4            166ns ± 1%   168ns ± 2%  +0.81%  (p=0.000 n=24+25)
    FprintIntNoAlloc-4        113ns ± 2%   109ns ± 2%  -3.79%  (p=0.000 n=24+25)
    
    386 Ivy Bridge:
    
    name                     old time/op  new time/op  delta
    SprintfPadding-4          353ns ± 4%   354ns ± 4%    ~     (p=0.769 n=25+24)
    SprintfEmpty-4           21.9ns ± 6%  21.1ns ± 3%  -3.45%  (p=0.000 n=24+25)
    SprintfString-4          94.7ns ± 1%  93.0ns ± 3%  -1.77%  (p=0.000 n=24+23)
    SprintfTruncateString-4   150ns ± 2%   147ns ± 0%  -1.71%  (p=0.000 n=25+21)
    SprintfQuoteString-4      472ns ± 1%   479ns ± 1%  +1.48%  (p=0.000 n=25+23)
    SprintfInt-4             87.0ns ± 2%  85.3ns ± 2%  -1.95%  (p=0.000 n=25+25)
    SprintfIntInt-4           137ns ± 2%   134ns ± 2%  -1.97%  (p=0.000 n=24+23)
    SprintfPrefixedInt-4      166ns ± 8%   161ns ± 8%  -3.07%  (p=0.023 n=24+24)
    SprintfFloat-4            226ns ± 1%   219ns ± 1%  -2.97%  (p=0.000 n=24+25)
